RowId,Speed_Diff
1,Low
2,None
3,Medium
4,High
5,High
6,None
7,Low
8,Low
9,Medium
10,Low
11,Medium
12,Medium
13,Medium
14,High
15,None
16,None
17,None
18,High
19,Medium
20,None
21,None
22,Medium
23,Medium
24,Low
25,Low
26,High
27,None
28,Very_High
29,None
30,Medium
31,Low
32,Medium
33,None
34,None
35,None
36,Very_High
37,Low
38,High
39,None
40,None
41,Low
42,None
43,None
44,None
45,Medium
46,Medium
47,None
48,None
49,None
50,Very_High
51,Medium
52,Low
53,Low
54,Low
55,Low
56,Medium
57,None
58,Medium
59,Medium
60,None
61,Low
62,None
63,None
64,None
65,Medium
66,Medium
67,Low
68,High
69,None
70,Low
71,None
72,Medium
73,None
74,None
75,None
76,None
77,None
78,None
79,High
80,Low
81,Very_High
82,High
83,None
84,Low
85,Low
86,None
87,Very_High
88,Low
89,Medium
90,None
91,None
92,Medium
93,Medium
94,None
95,None
96,Medium
97,None
98,Medium
99,Medium
100,None
101,High
102,None
103,Very_High
104,Medium
105,None
106,None
107,None
108,Medium
109,Very_High
110,Medium
111,None
112,Medium
113,Medium
114,Medium
115,Low
116,Low
117,Low
118,Medium
119,None
120,None
121,Very_High
122,None
123,None
124,Medium
125,None
126,None
127,None
128,Medium
129,None
130,Low
131,Medium
132,Medium
133,Medium
134,Low
135,Very_High
136,Medium
137,Low
138,Medium
139,None
140,High
141,None
142,Low
143,None
144,None
145,None
146,None
147,High
148,Medium
149,Low
150,Low
151,None
152,High
153,Very_High
154,Low
155,None
156,None
157,None
158,Medium
159,Very_High
160,Medium
161,Medium
162,Low
163,None
164,Very_High
165,Medium
166,None
167,Medium
168,Medium
169,Very_High
170,Low
171,None
172,None
173,High
174,Low
175,Low
176,High
177,Medium
178,Medium
179,Low
180,None
181,Low
182,Very_High
183,Medium
184,Medium
185,Low
186,Low
187,High
188,Low
189,Medium
190,Medium
191,High
192,Low
193,Medium
194,High
195,High
196,Low
197,Very_High
198,Low
199,Low
200,None
201,High
202,Low
203,None
204,None
205,High
206,Low
207,Low
208,High
209,Medium
210,None
211,Low
212,None
213,None
214,Very_High
215,Low
216,Medium
217,Medium
218,None
219,Medium
220,None
221,None
222,Very_High
223,Medium
224,Low
225,None
226,High
227,None
228,None
229,Low
230,None
231,Low
232,None
233,Medium
234,High
235,Very_High
236,Very_High
237,High
238,None
239,Medium
240,None
241,None
242,Medium
243,None
244,High
245,High
246,High
247,None
248,High
249,Low
250,High
251,High
252,Low
253,None
254,Medium
255,None
256,None
257,None
258,Low
259,Medium
260,None
261,Medium
262,Low
263,None
264,None
265,High
266,None
267,Low
268,Medium
269,None
270,None
271,None
272,Medium
273,Medium
274,None
275,High
276,Medium
277,None
278,Medium
279,None
280,Medium
281,Low
282,Low
283,Medium
284,None
285,Medium
286,None
287,Low
288,None
289,None
290,Medium
291,Low
292,None
293,High
294,None
295,None
296,Medium
297,None
298,None
299,None
300,None
301,None
302,None
303,Very_High
304,Low
305,Low
306,Medium
307,Low
308,Very_High
309,High
310,Medium
311,None
312,Low
313,Very_High
314,None
315,High
316,None
317,None
318,High
319,None
320,Medium
321,Low
322,Medium
323,None
324,Very_High
325,None
326,None
327,None
328,Low
329,Low
330,None
331,Medium
332,Medium
333,None
334,Medium
335,Medium
336,Very_High
337,High
338,Low
339,High
340,High
341,High
342,Low
343,Medium
344,High
345,Low
346,None
347,High
348,Medium
349,High
350,Medium
351,Medium
352,None
353,High
354,Low
355,None
356,None
357,High
358,None
359,Medium
360,Low
361,Medium
362,Medium
363,Low
364,None
365,Low
366,Medium
367,None
368,High
369,None
370,None
371,None
372,Medium
373,None
374,High
375,None
376,Medium
377,Very_High
378,Low
379,None
380,None
381,Medium
382,None
383,Medium
384,None
385,Medium
386,Medium
387,None
388,Low
389,None
390,Very_High
391,Medium
392,High
393,Medium
394,Medium
395,Low
396,None
397,High
398,None
399,None
400,Medium
401,Low
402,None
403,Medium
404,None
405,Medium
406,Medium
407,None
408,None
409,Low
410,Low
411,Medium
412,Medium
413,Low
414,Medium
415,None
416,Low
417,Medium
418,Low
419,High
420,None
421,High
422,Medium
423,None
424,Low
425,Low
426,Low
427,High
428,None
429,Low
430,None
431,Low
432,None
433,Medium
434,Low
435,Very_High
436,Medium
437,None
438,None
439,Medium
440,None
441,None
442,Low
443,None
444,Low
445,Very_High
446,None
447,Low
448,None
449,Medium
450,Low
451,None
452,None
453,Low
454,None
455,Medium
456,None
457,Medium
458,Medium
459,None
460,Medium
461,High
462,Low
463,None
464,None
465,None
466,Low
467,Low
468,None
469,High
470,Medium
471,None
472,None
473,None
474,Low
475,High
476,Low
477,Medium
478,None
479,Low
480,Low
481,Medium
482,None
483,Medium
484,High
485,Medium
486,None
487,Medium
488,None
489,Medium
490,Medium
491,None
492,High
493,Low
494,Low
495,Very_High
496,Low
497,Low
498,High
499,Medium
500,Medium
501,None
502,None
503,Low
504,Medium
505,High
506,None
507,None
508,Very_High
509,High
510,High
511,Low
512,Medium
513,Low
514,Low
515,Very_High
516,Medium
517,High
518,None
519,Medium
520,None
521,Low
522,Medium
523,Medium
524,None
525,None
526,High
527,Medium
528,None
529,None
530,None
531,None
532,None
533,Medium
534,None
535,Very_High
536,None
537,Low
538,Medium
539,None
540,Medium
541,None
542,None
543,Low
544,Medium
545,None
546,None
547,Medium
548,None
549,Medium
550,Very_High
551,Very_High
552,Very_High
553,None
554,Low
555,Low
556,None
557,Medium
558,None
559,Medium
560,Medium
561,High
562,Medium
563,Medium
564,Medium
565,None
566,Medium
567,Low
568,Medium
569,High
570,Low
571,None
572,Medium
573,Low
574,None
575,None
576,Low
577,High
578,Very_High
579,None
580,Low
581,High
582,None
583,None
584,None
585,Low
586,Medium
587,High
588,High
589,Low
590,Medium
591,None
592,None
593,High
594,Very_High
595,None
596,None
597,Low
598,Low
599,Low
600,Low
601,Medium
602,High
603,Low
604,None
605,None
606,High
607,None
608,None
609,Low
610,High
611,Medium
612,None
613,None
614,Very_High
615,Medium
616,Medium
617,None
618,Medium
619,High
620,High
621,High
622,Medium
623,Low
624,High
625,Medium
626,Low
627,Medium
628,Low
629,Medium
630,None
631,High
632,Medium
633,High
634,Medium
635,None
636,Medium
637,None
638,Very_High
639,High
640,Medium
641,Very_High
642,None
643,High
644,None
645,None
646,None
647,Medium
648,Very_High
649,None
650,None
651,Medium
652,None
653,Low
654,Low
655,None
656,Medium
657,Very_High
658,None
659,None
660,Low
661,Medium
662,Medium
663,None
664,Medium
665,Low
666,None
667,None
668,Medium
669,None
670,Medium
671,Very_High
672,High
673,Low
674,Low
675,Medium
676,Low
677,Medium
678,Low
679,Medium
680,Medium
681,High
682,Low
683,Medium
684,None
685,None
686,None
687,None
688,High
689,High
690,Very_High
691,High
692,High
693,High
694,None
695,High
696,Very_High
697,Low
698,High
699,None
700,Medium
701,Medium
702,None
703,Medium
704,None
705,None
706,None
707,None
708,None
709,Low
710,Medium
711,Low
712,Medium
713,None
714,None
715,Low
716,High
717,Medium
718,Medium
719,High
720,Medium
721,High
722,Medium
723,High
724,None
725,Medium
726,High
727,High
728,Medium
729,None
730,None
731,None
732,Medium
733,Low
734,High
735,None
736,None
737,Medium
738,Very_High
739,Medium
740,High
741,None
742,Medium
743,Low
744,None
745,High
746,Low
747,None
748,Very_High
749,None
750,None
751,Very_High
752,Very_High
753,Low
754,Low
755,Low
756,Medium
757,Low
758,Very_High
759,Medium
760,Very_High
761,Low
762,Medium
763,Very_High
764,Very_High
765,None
766,None
767,None
768,High
769,Medium
770,None
771,Medium
772,Medium
773,Low
774,None
775,None
776,High
777,Medium
778,High
779,None
780,None
781,Low
782,High
783,Medium
784,Low
785,Low
786,Medium
787,None
788,Very_High
789,Medium
790,Medium
791,None
792,None
793,High
794,None
795,Low
796,Low
797,Medium
798,Very_High
799,Very_High
800,Medium
801,Low
802,High
803,Medium
804,High
805,None
806,High
807,Low
808,Medium
809,High
810,Low
811,Low
812,None
813,Low
814,Low
815,High
816,Low
817,Low
818,High
819,Low
820,Medium
821,Low
822,Low
823,Medium
824,Low
825,Medium
826,Low
827,Medium
828,High
829,Medium
830,Medium
831,Very_High
832,Very_High
833,None
834,Low
835,None
836,Very_High
837,None
838,Medium
839,None
840,None
841,Low
842,Very_High
843,Low
844,None
845,High
846,None
847,High
848,Medium
849,None
850,High
851,Low
852,Medium
853,Medium
854,Medium
855,Medium
856,High
857,None
858,Very_High
859,None
860,Low
861,None
862,Low
863,High
864,High
865,None
866,None
867,High
868,None
869,None
870,Medium
871,None
872,Medium
873,None
874,Medium
875,Low
876,Medium
877,Medium
878,Low
879,None
880,None
881,Medium
882,None
883,None
884,Medium
885,None
886,Medium
887,High
888,None
889,High
890,None
891,Low
892,High
893,None
894,Very_High
895,None
896,High
897,Medium
898,Very_High
899,Low
900,None
901,Low
902,None
903,None
904,None
905,Medium
906,None
907,None
908,Medium
909,None
910,Medium
911,High
912,Medium
913,None
914,High
915,Medium
916,None
917,None
918,High
919,Medium
920,Low
921,High
922,Very_High
923,Medium
924,None
925,Medium
926,None
927,None
928,Medium
929,Medium
930,Low
931,Medium
932,High
933,Very_High
934,High
935,None
936,Low
937,Medium
938,Low
939,None
940,High
941,None
942,None
943,Low
944,High
945,None
946,None
947,None
948,Low
949,Medium
950,Low
951,Low
952,Very_High
953,Medium
954,Very_High
955,Very_High
956,None
957,Medium
958,Medium
959,Low
960,Low
961,Low
962,None
963,Medium
964,None
965,High
966,Low
967,Low
968,High
969,High
970,None
971,Medium
972,None
973,None
974,None
975,Medium
976,None
977,None
978,Medium
979,None
980,Low
981,Low
982,None
983,None
984,Low
985,High
986,Medium
987,High
988,Medium
989,None
990,Medium
991,Medium
992,High
993,High
994,None
995,Medium
996,None
997,Medium
998,None
999,None
1000,Medium
1001,Low
1002,Very_High
1003,None
1004,Medium
1005,None
1006,Low
1007,None
1008,Low
1009,Medium
1010,Medium
1011,Medium
1012,High
1013,None
1014,Medium
1015,None
1016,Medium
1017,Medium
1018,None
1019,None
1020,Medium
1021,None
1022,None
1023,Low
1024,Low
1025,None
1026,Very_High
1027,Medium
1028,Medium
1029,Medium
1030,Very_High
1031,None
1032,None
1033,High
1034,Medium
1035,High
1036,None
1037,High
1038,Low
1039,Medium
1040,High
1041,High
1042,None
1043,None
1044,None
1045,Medium
1046,None
1047,None
1048,Low
1049,Medium
1050,None
1051,Low
1052,None
1053,Medium
1054,Medium
1055,Medium
1056,None
1057,High
1058,Low
1059,Low
1060,None
1061,Medium
1062,High
1063,Medium
1064,Medium
1065,High
1066,Very_High
1067,High
1068,Medium
1069,Medium
1070,None
1071,Low
1072,Medium
1073,None
1074,None
1075,Low
1076,None
1077,High
1078,Low
1079,Low
1080,Medium
1081,Medium
1082,High
1083,None
1084,None
1085,Low
1086,High
1087,Medium
1088,High
1089,None
1090,Low
1091,None
1092,None
1093,None
1094,High
1095,None
1096,Medium
1097,Medium
1098,None
1099,None
1100,Low
1101,Low
1102,High
1103,None
1104,None
1105,None
1106,None
1107,High
1108,None
1109,Medium
1110,None
1111,None
1112,None
1113,None
1114,None
1115,None
