RowId,Speed_Diff
1,None
2,None
3,High
4,Medium
5,Medium
6,Low
7,None
8,Medium
9,None
10,Medium
11,Low
12,Medium
13,None
14,None
15,Low
16,None
17,Medium
18,Medium
19,High
20,None
21,Low
22,Low
23,None
24,Low
25,None
26,Low
27,None
28,Low
29,None
30,Low
31,Low
32,None
33,Medium
34,Medium
35,Medium
36,None
37,None
38,None
39,High
40,Low
41,None
42,Low
43,High
44,Very_High
45,High
46,High
47,None
48,None
49,High
50,None
51,Medium
52,High
53,None
54,Low
55,Low
56,None
57,Low
58,Very_High
59,None
60,Low
61,None
62,Low
63,High
64,None
65,Medium
66,Very_High
67,Medium
68,None
69,None
70,None
71,Medium
72,None
73,None
74,None
75,Low
76,None
77,Very_High
78,None
79,Low
80,None
81,Low
82,None
83,Very_High
84,Very_High
85,Medium
86,High
87,Medium
88,Medium
89,None
90,Low
91,None
92,Medium
93,None
94,Low
95,Medium
96,None
97,Very_High
98,None
99,None
100,Low
101,None
102,High
103,None
104,High
105,Low
106,Very_High
107,None
108,None
109,Low
110,Medium
111,Medium
112,Low
113,Medium
114,Low
115,None
116,None
117,Low
118,Medium
119,High
120,High
121,None
122,Medium
123,None
124,None
125,Low
126,Low
127,None
128,None
129,Low
130,Medium
131,Medium
132,None
133,None
134,High
135,None
136,None
137,None
138,Medium
139,Very_High
140,Medium
141,Low
142,Medium
143,High
144,None
145,None
146,None
147,Low
148,None
149,Low
150,Low
151,None
152,Low
153,None
154,Low
155,None
156,None
157,None
158,None
159,Low
160,Medium
161,None
162,None
163,Medium
164,Medium
165,None
166,None
167,Low
168,None
169,Medium
170,None
171,None
172,None
173,Low
174,None
175,Very_High
176,None
177,Low
178,Medium
179,Low
180,None
181,None
182,Very_High
183,High
184,Medium
185,Medium
186,None
187,None
188,Low
189,Low
190,Very_High
191,Medium
192,Low
193,Medium
194,Medium
195,None
196,Low
197,Medium
198,None
199,None
200,Very_High
201,High
202,Low
203,Very_High
204,High
205,None
206,Low
207,None
208,Medium
209,Medium
210,Medium
211,Medium
212,High
213,None
214,High
215,Low
216,None
217,Low
218,Medium
219,Medium
220,None
221,None
222,High
223,High
224,High
225,High
226,Medium
227,Medium
228,None
229,High
230,None
231,Low
232,Low
233,Low
234,Low
235,Medium
236,Low
237,None
238,Very_High
239,Very_High
240,None
241,Medium
242,Medium
243,Low
244,None
245,Medium
246,None
247,Medium
248,High
249,None
250,Medium
251,None
252,Medium
253,None
254,Low
255,Medium
256,Low
257,None
258,Medium
259,Medium
260,None
261,Medium
262,Medium
263,None
264,Medium
265,Medium
266,Medium
267,Very_High
268,Low
269,Very_High
270,Low
271,Medium
272,None
273,None
274,Low
275,Low
276,Medium
277,None
278,None
279,High
280,None
281,Medium
282,None
283,None
284,None
285,Medium
286,Medium
287,Medium
288,None
289,Medium
290,High
291,Medium
292,None
293,Medium
294,Very_High
295,Low
296,Medium
297,High
298,Medium
299,High
300,Low
301,Low
302,None
303,Very_High
304,Medium
305,Low
306,Low
307,Low
308,Low
309,None
310,None
311,Medium
312,Medium
313,High
314,High
315,None
316,None
317,High
318,High
319,Very_High
320,None
321,Low
322,Medium
323,None
324,Very_High
325,None
326,None
327,Medium
328,Medium
329,Medium
330,None
331,Medium
332,None
333,Medium
334,None
335,None
336,None
337,None
338,Medium
339,None
340,None
341,High
342,Low
343,Low
344,Medium
345,Very_High
346,Low
347,None
348,None
349,High
350,Low
351,None
352,Medium
353,None
354,Medium
355,High
356,Medium
357,None
358,None
359,Medium
360,None
361,Low
362,High
363,Medium
364,Medium
365,Low
366,None
367,Medium
368,Low
369,Low
370,Medium
371,High
372,Medium
373,Medium
374,None
375,None
376,Medium
377,Low
378,None
379,Low
380,Low
381,Low
382,Medium
383,None
384,Medium
385,Medium
386,High
387,Low
388,None
389,Low
390,High
391,Low
392,None
393,Medium
394,Low
395,None
396,Low
397,Very_High
398,Very_High
399,Medium
400,Medium
401,Medium
402,High
403,Medium
404,Low
405,Very_High
406,None
407,None
408,Medium
409,None
410,Low
411,Medium
412,Medium
413,High
414,Low
415,None
416,Low
417,Very_High
418,None
419,Very_High
420,Medium
421,Medium
422,High
423,Medium
424,Low
425,High
426,Medium
427,None
428,Medium
429,High
430,Medium
431,Medium
432,None
433,Medium
434,Medium
435,Medium
436,None
437,None
438,None
439,None
440,Medium
441,High
442,Low
443,Low
444,High
445,High
446,Medium
447,High
448,Medium
449,Medium
450,Medium
451,None
452,None
453,High
454,None
455,None
456,Low
457,Low
458,Medium
459,None
460,None
461,Medium
462,Low
463,Medium
464,Medium
465,Very_High
466,None
467,Low
468,Medium
469,Medium
470,None
471,None
472,None
473,None
474,Low
475,Medium
476,Medium
477,None
478,Low
479,Medium
480,Low
481,Medium
482,None
483,Low
484,Medium
485,None
486,Medium
487,Low
488,None
489,None
490,Medium
491,Medium
492,Low
493,High
494,Very_High
495,Medium
496,Low
497,Medium
498,Very_High
499,High
500,None
501,None
502,Medium
503,Low
504,Low
505,Very_High
506,None
507,High
508,None
509,High
510,Medium
511,Low
512,None
513,Medium
514,Very_High
515,Low
516,Medium
517,Low
518,Medium
519,None
520,None
521,Medium
522,Low
523,High
524,None
525,High
526,Medium
527,Medium
528,Low
529,High
530,None
531,Very_High
532,None
533,None
534,Low
535,High
536,High
537,None
538,Low
539,Medium
540,None
541,High
542,None
543,Low
544,Medium
545,High
546,None
547,Medium
548,Low
549,Low
550,High
551,None
552,Very_High
553,None
554,None
555,None
556,Low
557,High
558,Low
559,None
560,Medium
561,High
562,Very_High
563,Medium
564,Very_High
565,Medium
566,Low
567,None
568,None
569,None
570,Low
571,High
572,Low
573,Low
574,Low
575,None
576,Medium
577,None
578,Medium
579,Medium
580,Medium
581,Low
582,None
583,None
584,Low
585,Medium
586,Low
587,Medium
588,Low
589,Medium
590,Medium
591,None
592,None
593,Low
594,High
595,High
596,Low
597,Low
598,High
599,Medium
600,High
601,None
602,Medium
603,None
604,High
605,None
606,None
607,High
608,High
609,High
610,None
611,Low
612,None
613,Low
614,None
615,Medium
616,None
617,None
618,None
619,Medium
620,None
621,Low
622,Medium
623,Medium
624,Medium
625,Low
626,High
627,Medium
628,None
629,High
630,None
631,High
632,Medium
633,Low
634,Medium
635,None
636,Very_High
637,None
638,Medium
639,None
640,Medium
641,None
642,None
643,None
644,Medium
645,Medium
646,High
647,None
648,None
649,Medium
650,None
651,High
652,None
653,None
654,Medium
655,None
656,None
657,None
658,None
659,Very_High
660,Low
661,Medium
662,Medium
663,Very_High
664,None
665,None
666,High
667,Low
668,Very_High
669,None
670,Medium
671,High
672,None
673,None
674,Medium
675,None
676,None
677,Low
678,None
679,Medium
680,None
681,None
682,None
683,None
684,High
685,Low
686,Low
687,None
688,High
689,None
690,High
691,Medium
692,Low
693,Very_High
694,None
695,Low
696,Medium
697,Medium
698,None
699,None
700,High
701,Medium
702,None
703,Medium
704,Low
705,None
706,None
707,Low
708,Low
709,Very_High
710,Very_High
711,Medium
712,Very_High
713,None
714,Medium
715,Medium
716,None
717,None
718,None
719,Medium
720,Medium
721,Very_High
722,Medium
723,Low
724,Low
725,None
726,Low
727,Low
728,Medium
729,Low
730,Low
731,Medium
732,Medium
733,Low
734,None
735,Medium
736,Medium
737,Medium
738,None
739,High
740,Medium
741,None
742,Medium
743,Medium
744,None
745,None
746,High
747,High
748,Low
749,None
750,Medium
751,Very_High
752,None
753,None
754,Medium
755,None
756,None
757,Medium
758,High
759,None
760,Medium
761,Low
762,None
763,High
764,None
765,Medium
766,Low
767,None
768,None
769,Medium
770,Low
771,Medium
772,None
773,None
774,None
775,Medium
776,None
777,Medium
778,High
779,Very_High
780,Low
781,High
782,None
783,Medium
784,High
785,Very_High
786,Medium
787,None
788,None
789,None
790,High
791,None
792,High
793,Very_High
794,Low
795,Medium
796,Very_High
797,High
798,Medium
799,Low
800,Medium
801,High
802,None
803,Low
804,Low
805,Medium
806,Medium
807,None
808,None
809,Medium
810,Medium
811,None
812,High
813,High
814,None
815,None
816,High
817,None
818,None
819,None
820,None
821,None
822,Medium
823,Medium
824,High
825,Medium
826,Very_High
827,None
828,High
829,High
830,Very_High
831,None
832,High
833,None
834,Medium
835,Medium
836,High
837,None
838,Low
839,None
840,Low
841,None
